,Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Tradeand Other Payables Non Current,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2023-06-30,161380000.0,133297000.0,294677000.0,,5011541000.0,6419229000.0,13175116000.0,9043494000.0,6419229000.0,46597000.0,8210172000.0,13175116000.0,8210172000.0,8210172000.0,,-100706000.0,-100706000.0,21530353000.0,22032096000.0,7809002000.0,133000.0,133000.0,0.0,10571471000.0,6386553000.0,501286000.0,,882084000.0,5003183000.0,38239000.0,4964944000.0,4184918000.0,580605000.0,1695221000.0,1695221000.0,8358000.0,8358000.0,,,481354000.0,256781000.0,1162599000.0,,1162599000.0,231267000.0,460630000.0,470702000.0,18781643000.0,5553231000.0,1905616000.0,1790943000.0,168454000.0,1622489000.0,1856672000.0,-1642456000.0,3499128000.0,53721000.0,2059819000.0,1286849000.0,98739000.0,0.0,13228412000.0,214149000.0,,4816190000.0,1293591000.0,325611000.0,3196988000.0,2823376000.0,2823376000.0,-5344000.0,2828720000.0,5374697000.0,37641000.0,5337056000.0,3204534000.0,2132522000.0
2022-06-30,157087000.0,136975000.0,294062000.0,1440458000.0,5005830000.0,4661403000.0,11240825000.0,7720476000.0,4661403000.0,43371000.0,6278366000.0,11240825000.0,6278366000.0,6278366000.0,,-109982000.0,-109982000.0,19481429000.0,18454724000.0,7414916000.0,137000.0,137000.0,0.0,10917266000.0,6352507000.0,422941000.0,4835000.0,931117000.0,4998449000.0,35990000.0,4962459000.0,4564759000.0,589738000.0,1571898000.0,1571898000.0,7381000.0,7381000.0,,,481070000.0,232248000.0,1682424000.0,,1682424000.0,205615000.0,465601000.0,1011208000.0,17195632000.0,4910397000.0,1645847000.0,1616963000.0,101850000.0,1515113000.0,1647587000.0,-1440325000.0,3087912000.0,42153000.0,1836645000.0,1124381000.0,84733000.0,0.0,12285235000.0,347391000.0,347391000.0,3966294000.0,1093456000.0,471348000.0,2401490000.0,4313818000.0,4313818000.0,-5606000.0,4319424000.0,3657732000.0,135731000.0,3522001000.0,2506254000.0,1015747000.0
2021-06-30,150766000.0,142501000.0,293267000.0,536051000.0,4995061000.0,4404689000.0,10981502000.0,8124520000.0,4404689000.0,40747000.0,6027188000.0,10981502000.0,6027188000.0,6027188000.0,,-64128000.0,-64128000.0,15646701000.0,14684912000.0,7052962000.0,143000.0,143000.0,0.0,9864964000.0,6337097000.0,398727000.0,6621000.0,948037000.0,4983712000.0,29398000.0,4954314000.0,3527867000.0,456891000.0,967325000.0,967325000.0,11349000.0,11349000.0,,,552925000.0,176030000.0,1363347000.0,456891000.0,1363347000.0,185431000.0,348206000.0,829710000.0,15892152000.0,4239765000.0,1313787000.0,1622499000.0,132365000.0,1490134000.0,1303479000.0,-1271356000.0,2574835000.0,44054000.0,1605439000.0,840661000.0,84681000.0,0.0,11652387000.0,207528000.0,207528000.0,2689294000.0,778152000.0,391686000.0,1519456000.0,3026430000.0,3026430000.0,-5255000.0,3031685000.0,5729135000.0,1310872000.0,4418263000.0,3544985000.0,873278000.0
2020-06-30,145432000.0,145331000.0,290763000.0,880306000.0,5810725000.0,3530521000.0,10978967000.0,7691093000.0,3530521000.0,15247000.0,5183489000.0,10142860000.0,5183489000.0,5183489000.0,10995000.0,-94211000.0,-94211000.0,12949889000.0,11520591000.0,6695858000.0,145000.0,145000.0,0.0,9375558000.0,6213116000.0,332559000.0,,909709000.0,4970848000.0,11477000.0,4959371000.0,3162442000.0,369634000.0,457523000.0,457523000.0,839877000.0,3770000.0,836107000.0,836107000.0,402401000.0,117839000.0,975168000.0,369634000.0,975168000.0,167129000.0,215652000.0,592387000.0,14559047000.0,3705512000.0,981045000.0,1652968000.0,168532000.0,1484436000.0,1071499000.0,-1082827000.0,2154326000.0,18409000.0,1416247000.0,660865000.0,58805000.0,0.0,10853535000.0,146160000.0,146160000.0,1900024000.0,486864000.0,251199000.0,1161961000.0,2097099000.0,2097099000.0,-5465000.0,2102564000.0,6710252000.0,1795080000.0,4915172000.0,3941194000.0,973978000.0
